Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Age,CIBIL_Score,Loan_Status
Female,No,0,Not Graduate,Yes,23748,242651,300,1.0,Urban,58,632,0
Male,Yes,3+,Graduate,No,79460,402630,360,1.0,Urban,55,411,0
Male,No,1,Not Graduate,No,33951,241494,180,1.0,Urban,43,870,0
Female,No,2,Graduate,Yes,91302,151294,120,0.0,Rural,34,850,0
Male,No,2,Graduate,No,23879,495781,120,0.0,Rural,40,499,0
Male,No,2,Graduate,Yes,39741,286918,180,0.0,Semiurban,52,544,0
Male,Yes,1,Not Graduate,No,35369,368050,120,1.0,Urban,37,563,0
Female,Yes,1,Not Graduate,No,68273,316068,360,1.0,Semiurban,53,325,0
Female,Yes,3+,Graduate,No,20342,211633,360,1.0,Rural,48,833,0
Male,Yes,3+,Not Graduate,No,21361,487462,360,1.0,Semiurban,29,767,0
Female,Yes,1,Graduate,No,60336,217176,360,1.0,Urban,56,499,0
Male,No,2,Graduate,No,97733,496891,240,0.0,Semiurban,54,628,0
Female,Yes,3+,Not Graduate,No,62265,243858,180,1.0,Semiurban,44,528,0
Female,No,0,Not Graduate,Yes,55674,60192,240,1.0,Semiurban,28,436,0
Female,No,3+,Not Graduate,No,72631,66520,180,0.0,Rural,29,482,0
Male,No,1,Not Graduate,No,64144,488145,360,1.0,Urban,53,364,0
Female,Yes,3+,Graduate,Yes,50792,287517,240,1.0,Semiurban,21,785,0
Male,No,2,Not Graduate,No,67083,224436,180,1.0,Rural,39,692,1
Female,Yes,3+,Graduate,No,20256,415121,300,0.0,Urban,45,858,0
Male,Yes,0,Not Graduate,Yes,39559,327717,180,1.0,Urban,30,303,0
Male,Yes,0,Graduate,Yes,73911,347255,180,1.0,Urban,54,678,1
Male,Yes,3+,Graduate,Yes,47324,358452,180,1.0,Semiurban,41,636,0
Female,Yes,2,Graduate,No,24343,139289,120,1.0,Urban,23,674,0
Male,Yes,2,Not Graduate,No,29955,89721,120,1.0,Rural,33,893,1
Female,No,0,Graduate,No,89293,377615,240,1.0,Urban,36,534,0
Male,Yes,0,Not Graduate,No,46366,59813,360,1.0,Rural,29,384,0
Male,Yes,3+,Not Graduate,Yes,21812,373756,180,1.0,Semiurban,57,307,0
Female,No,1,Graduate,No,78304,108470,300,1.0,Rural,35,595,0
Male,No,2,Not Graduate,Yes,62438,168142,180,1.0,Semiurban,40,404,0
Female,No,1,Graduate,Yes,56110,368491,180,1.0,Semiurban,41,384,0
Female,Yes,1,Graduate,Yes,91593,330293,120,0.0,Urban,29,388,0
Male,No,0,Not Graduate,No,45097,401691,240,1.0,Semiurban,43,466,0
Male,No,3+,Graduate,Yes,65799,324927,300,1.0,Urban,34,369,0
Male,Yes,3+,Graduate,Yes,79592,71532,180,1.0,Urban,21,591,0
Female,Yes,0,Graduate,Yes,68673,427904,240,1.0,Rural,36,692,0
Female,No,1,Not Graduate,Yes,36637,147084,240,1.0,Rural,43,473,0
Male,Yes,2,Graduate,No,74528,111232,180,1.0,Urban,25,381,0
Male,Yes,1,Graduate,No,79471,445342,300,1.0,Semiurban,51,643,0
Male,No,2,Not Graduate,No,29792,137677,240,1.0,Urban,46,351,0
Male,No,1,Graduate,No,33235,291232,120,0.0,Urban,33,742,0
Female,No,0,Not Graduate,No,73994,268686,240,1.0,Semiurban,44,529,0
Female,No,1,Graduate,No,29518,396279,180,1.0,Rural,32,545,0
Male,No,2,Not Graduate,Yes,90428,69865,300,1.0,Urban,46,449,0
Female,Yes,0,Not Graduate,No,28765,98011,180,1.0,Semiurban,27,469,0
Male,Yes,3+,Graduate,No,97937,237017,360,1.0,Rural,44,387,0
Male,No,0,Graduate,No,73721,262967,300,1.0,Semiurban,23,634,0
Female,Yes,0,Not Graduate,Yes,55444,404698,120,1.0,Urban,21,387,0
Female,Yes,2,Not Graduate,Yes,41471,322579,240,1.0,Semiurban,30,708,0
Female,No,2,Graduate,No,47560,116921,360,1.0,Rural,27,453,0
Male,No,1,Not Graduate,No,79881,490496,180,1.0,Rural,40,639,0
Male,Yes,1,Graduate,Yes,80264,256976,300,1.0,Semiurban,27,622,0
Male,Yes,0,Not Graduate,No,36692,484065,300,0.0,Urban,30,680,0
Male,No,2,Not Graduate,Yes,63429,495396,300,1.0,Rural,24,754,0
Female,Yes,1,Not Graduate,No,99434,73253,120,1.0,Rural,55,636,0
Female,No,0,Not Graduate,Yes,40584,277664,180,1.0,Semiurban,49,811,0
Male,No,1,Graduate,Yes,75472,239915,180,1.0,Rural,29,455,0
Female,No,3+,Not Graduate,No,33772,274245,180,0.0,Rural,25,750,0
Male,Yes,1,Not Graduate,No,86726,189473,360,0.0,Urban,54,505,0
Female,No,3+,Not Graduate,Yes,33618,301457,120,0.0,Semiurban,47,676,0
Male,Yes,1,Not Graduate,Yes,43809,271488,240,1.0,Semiurban,55,595,0
Male,No,0,Not Graduate,No,56734,133701,360,1.0,Semiurban,27,844,1
Female,Yes,1,Not Graduate,Yes,49652,179830,360,0.0,Semiurban,34,462,0
Male,Yes,1,Not Graduate,No,33609,116223,300,1.0,Rural,25,611,0
Male,No,0,Not Graduate,No,71278,429620,360,1.0,Urban,37,398,0
Male,Yes,2,Graduate,No,21577,354809,240,1.0,Semiurban,27,680,0
Male,No,1,Graduate,Yes,98681,224389,300,1.0,Urban,21,322,0
Male,No,2,Graduate,Yes,24167,228095,240,1.0,Semiurban,40,546,0
Male,Yes,1,Graduate,No,46708,85594,120,1.0,Semiurban,59,305,0
Female,Yes,1,Graduate,Yes,94390,180457,120,0.0,Urban,46,496,0
Female,No,1,Graduate,No,32406,465990,360,0.0,Rural,50,590,0
Male,Yes,0,Graduate,Yes,25836,64126,120,0.0,Urban,52,499,0
Male,Yes,2,Not Graduate,No,79513,115755,180,1.0,Urban,58,531,0
Female,Yes,0,Graduate,Yes,25854,430722,300,1.0,Semiurban,26,388,0
Female,Yes,2,Not Graduate,No,91967,284147,240,1.0,Rural,30,728,1
Female,No,3+,Graduate,No,56095,64547,240,0.0,Urban,45,777,0
Female,Yes,3+,Graduate,Yes,89546,270395,360,1.0,Semiurban,53,572,0
Female,No,1,Not Graduate,Yes,39608,387492,300,0.0,Semiurban,51,333,0
Male,Yes,1,Not Graduate,Yes,31290,205282,360,1.0,Rural,49,337,0
Male,No,3+,Not Graduate,Yes,97015,221894,300,1.0,Urban,33,704,1
Female,Yes,1,Not Graduate,Yes,80973,334093,360,1.0,Urban,35,857,1
Female,Yes,1,Not Graduate,Yes,92878,319409,300,1.0,Semiurban,24,818,1
Male,No,3+,Not Graduate,No,45591,456310,240,0.0,Urban,33,543,0
Female,Yes,3+,Graduate,No,52379,161455,360,1.0,Rural,27,598,0
Male,Yes,3+,Not Graduate,Yes,66177,174231,360,1.0,Urban,57,397,0
Female,No,0,Not Graduate,Yes,55898,119929,120,1.0,Semiurban,24,342,0
Female,Yes,3+,Graduate,Yes,39413,349214,360,0.0,Urban,35,759,0
Male,Yes,0,Graduate,No,50009,290024,300,1.0,Rural,55,557,0
Male,Yes,2,Not Graduate,Yes,68700,206128,360,1.0,Semiurban,58,598,0
Male,No,3+,Graduate,Yes,23029,363027,300,1.0,Urban,35,505,0
Female,No,2,Not Graduate,Yes,46875,219509,360,1.0,Urban,39,487,0
Female,No,3+,Graduate,No,43427,137971,180,1.0,Urban,41,891,1
Male,No,1,Graduate,Yes,25625,292930,120,0.0,Urban,53,789,0
Male,Yes,1,Graduate,No,29813,246361,120,1.0,Rural,50,714,0
Female,Yes,1,Not Graduate,Yes,59654,232428,180,1.0,Semiurban,41,533,0
Male,Yes,1,Graduate,Yes,28189,250094,180,1.0,Rural,35,732,0
Male,Yes,2,Not Graduate,Yes,47592,461390,240,1.0,Urban,35,503,0
Male,Yes,1,Not Graduate,Yes,64868,147190,120,1.0,Rural,46,609,0
Female,No,2,Graduate,No,89907,174115,120,0.0,Semiurban,53,387,0
Female,No,1,Not Graduate,Yes,27901,304272,240,1.0,Semiurban,23,725,0
Male,No,1,Graduate,Yes,54771,71016,300,1.0,Rural,50,336,0
Female,No,0,Not Graduate,Yes,28234,115671,120,1.0,Rural,39,733,1
Female,No,2,Graduate,No,54285,304851,240,1.0,Rural,26,662,0
Male,Yes,3+,Graduate,Yes,58441,279387,300,1.0,Rural,24,339,0
Female,No,3+,Not Graduate,No,83941,343769,300,0.0,Semiurban,34,603,0
Female,No,1,Not Graduate,No,55382,101044,120,1.0,Rural,30,433,0
Male,Yes,1,Not Graduate,No,94841,434244,300,1.0,Rural,25,585,0
Male,Yes,2,Not Graduate,No,31010,268494,120,0.0,Rural,32,307,0
Female,No,2,Graduate,No,24252,119761,180,1.0,Semiurban,53,733,1
Female,Yes,0,Graduate,Yes,20355,190219,180,1.0,Urban,48,605,0
Male,No,2,Graduate,No,48539,152355,360,0.0,Semiurban,29,517,0
Female,No,0,Not Graduate,No,35437,253510,120,0.0,Urban,47,825,0
Female,Yes,0,Graduate,Yes,27326,261221,300,1.0,Urban,38,686,0
Male,Yes,2,Graduate,Yes,38871,245187,360,1.0,Semiurban,50,665,0
Female,Yes,0,Graduate,No,97998,257453,360,0.0,Semiurban,30,388,0
Male,Yes,1,Graduate,No,84019,458569,180,1.0,Semiurban,23,600,0
Female,Yes,2,Graduate,No,21485,481616,120,1.0,Rural,33,720,0
Male,No,2,Graduate,Yes,93235,270471,180,0.0,Rural,59,855,0
Male,Yes,1,Graduate,Yes,36420,483360,300,1.0,Semiurban,42,662,0
Female,Yes,0,Not Graduate,No,52475,418324,120,1.0,Semiurban,23,403,0
Male,Yes,3+,Graduate,Yes,46210,418981,300,1.0,Rural,59,706,0
Female,No,3+,Graduate,No,52402,151543,180,1.0,Urban,53,344,0
Male,Yes,3+,Not Graduate,No,80857,247291,300,1.0,Rural,42,487,0
Female,Yes,2,Graduate,Yes,76998,208437,300,1.0,Rural,49,850,1
Female,No,1,Graduate,No,67523,93403,240,1.0,Rural,28,781,1
Female,Yes,3+,Graduate,Yes,70153,83790,300,0.0,Urban,44,841,0
Male,Yes,1,Graduate,Yes,78202,330095,360,1.0,Semiurban,56,511,0
Male,Yes,0,Not Graduate,Yes,34731,239336,180,1.0,Rural,38,709,0
Female,Yes,3+,Graduate,No,51653,421574,240,1.0,Urban,22,720,0
Female,Yes,1,Graduate,No,28615,350914,300,1.0,Urban,50,447,0
Female,No,3+,Graduate,Yes,76333,88327,360,1.0,Semiurban,49,865,1
Male,Yes,1,Graduate,No,55008,427175,240,1.0,Semiurban,49,881,0
Female,Yes,3+,Not Graduate,No,70982,273243,180,1.0,Rural,46,366,0
Male,Yes,2,Graduate,No,65186,304661,360,0.0,Semiurban,26,759,0
Male,No,1,Not Graduate,No,41890,484558,360,1.0,Rural,25,568,0
Female,No,1,Not Graduate,No,31096,338032,240,1.0,Urban,51,704,0
Male,Yes,3+,Not Graduate,No,97835,60028,120,0.0,Semiurban,54,632,0
Female,Yes,0,Not Graduate,No,43461,129770,180,1.0,Urban,24,433,0
Male,Yes,1,Not Graduate,Yes,28765,241856,240,1.0,Urban,43,357,0
Male,Yes,1,Not Graduate,Yes,44475,66742,300,0.0,Urban,40,607,0
Male,Yes,2,Not Graduate,Yes,92193,125362,300,0.0,Rural,34,802,0
Female,Yes,1,Graduate,No,40903,406259,360,1.0,Semiurban,46,793,0
Female,No,2,Graduate,No,98943,114255,120,1.0,Urban,56,464,0
Female,Yes,1,Graduate,No,56860,125167,240,1.0,Urban,53,816,1
Female,Yes,0,Not Graduate,Yes,88945,277106,300,1.0,Semiurban,26,513,0
Female,Yes,0,Not Graduate,Yes,72245,91026,360,0.0,Rural,39,636,0
Female,No,2,Graduate,Yes,23514,165057,120,1.0,Rural,57,494,0
Female,No,1,Graduate,No,60751,471903,360,0.0,Urban,30,613,0
Male,Yes,1,Graduate,Yes,53354,334163,120,1.0,Rural,54,617,0
Male,Yes,2,Not Graduate,Yes,36116,483584,120,1.0,Semiurban,40,718,0
Male,No,1,Not Graduate,No,63998,209412,360,1.0,Rural,41,583,0
Male,No,1,Not Graduate,Yes,28235,327315,300,0.0,Urban,30,616,0
Female,Yes,0,Graduate,No,75863,157351,360,1.0,Semiurban,56,690,1
Male,No,1,Graduate,No,85749,220386,300,1.0,Rural,41,550,0
Male,No,2,Graduate,Yes,27403,128595,300,1.0,Urban,43,614,0
Female,Yes,2,Not Graduate,Yes,58344,424957,240,1.0,Rural,39,351,0
Female,No,3+,Not Graduate,Yes,72409,132820,240,1.0,Urban,24,821,1
Female,Yes,3+,Not Graduate,Yes,24971,142123,240,1.0,Rural,51,375,0
Male,Yes,0,Graduate,Yes,51146,258713,180,1.0,Rural,33,823,0
Male,Yes,1,Graduate,Yes,40649,243226,360,1.0,Rural,30,756,0
Female,Yes,1,Not Graduate,Yes,23140,191227,180,1.0,Rural,51,868,0
Male,No,2,Graduate,No,84322,210657,300,1.0,Urban,28,314,0
Male,Yes,1,Not Graduate,Yes,55573,182761,300,0.0,Semiurban,47,430,0
Male,Yes,3+,Graduate,No,80138,460714,240,0.0,Rural,39,331,0
Female,Yes,1,Graduate,No,66966,311168,300,1.0,Urban,52,550,0
Female,No,2,Not Graduate,Yes,90065,463899,120,1.0,Urban,22,842,0
Female,No,0,Graduate,No,99760,494065,180,1.0,Urban,51,759,1
Female,No,3+,Graduate,Yes,68167,342898,240,0.0,Rural,29,722,0
Female,Yes,3+,Not Graduate,No,48173,421548,180,1.0,Urban,54,809,0
Male,No,3+,Graduate,Yes,53832,99833,360,1.0,Semiurban,34,302,0
Female,No,1,Graduate,No,86032,477237,360,0.0,Semiurban,21,772,0
Male,No,0,Not Graduate,No,54130,266986,300,1.0,Semiurban,40,487,0
Male,Yes,2,Graduate,No,61579,371045,180,1.0,Rural,23,714,0
Female,No,1,Graduate,Yes,35520,160397,120,1.0,Rural,31,757,1
Male,Yes,3+,Graduate,No,99205,92975,300,1.0,Semiurban,48,711,1
Male,Yes,2,Graduate,No,72063,448212,360,1.0,Rural,42,550,0
Male,Yes,2,Graduate,No,46416,252251,240,0.0,Urban,48,666,0
Female,Yes,3+,Not Graduate,No,66805,112281,360,1.0,Rural,55,581,0
Male,Yes,3+,Graduate,Yes,52091,346314,360,1.0,Urban,39,676,0
Male,Yes,1,Graduate,Yes,32389,74439,240,0.0,Urban,42,575,0
Female,Yes,0,Graduate,No,89979,252712,180,0.0,Urban,23,536,0
Male,No,0,Graduate,No,90853,366993,120,1.0,Urban,32,421,0
Female,Yes,1,Not Graduate,No,86791,374189,300,1.0,Rural,49,532,0
Female,No,2,Graduate,No,49477,253978,240,1.0,Urban,23,732,0
Female,No,0,Graduate,No,40512,216483,120,1.0,Rural,35,822,0
Male,No,0,Graduate,No,23979,427264,120,1.0,Semiurban,26,361,0
Male,No,2,Graduate,Yes,78523,133131,360,1.0,Urban,54,409,0
Male,Yes,3+,Graduate,Yes,46230,83583,180,0.0,Semiurban,42,604,0
Female,No,0,Not Graduate,Yes,91377,120579,180,1.0,Urban,46,721,1
Male,No,2,Not Graduate,No,89588,410484,300,1.0,Urban,47,401,0
Male,Yes,0,Graduate,No,30254,261456,180,1.0,Semiurban,29,494,0
Male,Yes,2,Not Graduate,No,93356,66800,360,0.0,Rural,22,327,0
Female,No,3+,Graduate,Yes,31223,125949,300,1.0,Semiurban,36,331,0
Male,Yes,3+,Graduate,No,59231,62631,180,1.0,Urban,28,385,0
Female,Yes,2,Not Graduate,No,57914,416492,180,1.0,Rural,33,737,0
Male,No,2,Not Graduate,No,96507,257592,360,1.0,Rural,33,821,1
Male,No,3+,Graduate,Yes,72584,80627,240,1.0,Urban,51,599,0
Male,Yes,2,Not Graduate,Yes,90019,149581,360,0.0,Rural,33,405,0
Female,No,1,Graduate,Yes,67664,327404,180,1.0,Rural,26,852,1
Male,Yes,3+,Not Graduate,No,86018,317173,120,1.0,Semiurban,58,467,0
Male,No,2,Not Graduate,No,88169,418679,360,1.0,Urban,22,392,0
Female,No,3+,Not Graduate,No,88776,61617,180,1.0,Semiurban,28,382,0
Female,Yes,2,Not Graduate,Yes,52929,81229,360,1.0,Semiurban,34,511,0
Female,Yes,3+,Not Graduate,Yes,50550,65925,300,1.0,Urban,23,741,1
Female,No,0,Not Graduate,No,98785,227329,180,1.0,Urban,56,538,0
Male,Yes,0,Not Graduate,Yes,80517,377216,300,1.0,Urban,34,567,0
Female,Yes,0,Graduate,No,93384,348351,120,1.0,Urban,51,504,0
Male,Yes,2,Graduate,Yes,66187,144574,180,1.0,Rural,26,866,1
Female,No,2,Graduate,No,94321,345757,180,1.0,Urban,41,710,1
Female,Yes,0,Not Graduate,No,77574,345387,300,1.0,Semiurban,25,698,1
Female,No,0,Graduate,No,79405,136124,240,1.0,Semiurban,30,562,0
Female,No,3+,Graduate,Yes,34222,387464,300,1.0,Urban,36,618,0
Female,Yes,3+,Not Graduate,No,65350,240031,240,1.0,Rural,54,830,1
Female,No,2,Graduate,No,78511,76699,300,0.0,Rural,32,693,0
Female,No,1,Not Graduate,No,80879,225761,120,1.0,Semiurban,50,788,1
Male,Yes,1,Not Graduate,Yes,96607,396389,300,1.0,Rural,24,324,0
Male,No,0,Graduate,No,46155,363295,120,0.0,Urban,30,815,0
Male,Yes,0,Graduate,Yes,44213,170789,120,1.0,Rural,44,870,1
Female,Yes,3+,Graduate,Yes,97558,390605,300,1.0,Rural,39,700,1
Male,Yes,1,Graduate,No,98892,225295,120,1.0,Semiurban,40,873,1
Male,No,2,Graduate,No,34390,257108,300,0.0,Rural,47,640,0
Male,No,2,Graduate,Yes,50270,88987,120,1.0,Rural,24,465,0
Female,Yes,1,Graduate,Yes,95847,498679,120,1.0,Semiurban,48,663,0
Female,No,0,Graduate,No,35977,427383,360,1.0,Urban,54,676,0
Female,No,2,Not Graduate,No,82653,137717,120,1.0,Urban,50,386,0
Male,No,0,Not Graduate,Yes,28982,302327,360,0.0,Urban,32,421,0
Male,No,1,Graduate,No,34264,401161,180,0.0,Urban,34,474,0
Male,Yes,3+,Not Graduate,No,82796,277099,300,1.0,Rural,58,628,0
Male,No,2,Graduate,No,68597,144859,360,0.0,Urban,51,388,0
Male,Yes,3+,Graduate,Yes,64386,485849,120,1.0,Rural,57,762,0
Female,Yes,0,Graduate,No,88526,170963,180,1.0,Urban,56,365,0
Female,Yes,0,Graduate,No,44570,200527,240,1.0,Semiurban,37,863,1
Female,No,1,Graduate,No,60263,217231,360,1.0,Semiurban,26,705,1
Male,No,1,Graduate,No,68676,450850,120,1.0,Urban,29,503,0
Male,Yes,0,Graduate,Yes,79189,275005,120,1.0,Urban,32,523,0
Female,Yes,3+,Graduate,Yes,46568,373859,180,1.0,Urban,53,716,0
Male,Yes,0,Not Graduate,Yes,70690,455545,180,1.0,Urban,31,353,0
Male,No,2,Not Graduate,Yes,55868,467837,180,1.0,Rural,35,729,0
Male,Yes,2,Not Graduate,Yes,63356,435394,120,0.0,Semiurban,54,631,0
Female,No,2,Not Graduate,Yes,89013,458510,360,1.0,Rural,27,432,0
Female,Yes,0,Not Graduate,No,51492,476701,300,1.0,Rural,46,838,0
Male,Yes,1,Graduate,No,73453,495963,120,1.0,Semiurban,42,677,0
Female,No,2,Graduate,No,95359,339392,240,1.0,Rural,59,398,0
Female,Yes,1,Graduate,No,80992,109254,300,1.0,Urban,40,693,1
Female,Yes,2,Graduate,Yes,99097,100991,300,1.0,Semiurban,41,546,0
Female,Yes,0,Not Graduate,Yes,66679,408207,360,1.0,Semiurban,54,758,0
Male,No,0,Graduate,Yes,42556,192264,300,0.0,Semiurban,59,595,0
Female,Yes,2,Not Graduate,Yes,99311,412022,300,1.0,Rural,49,899,1
Male,Yes,2,Not Graduate,Yes,71566,470631,120,1.0,Rural,48,856,0
Female,Yes,0,Graduate,No,39312,339968,120,1.0,Semiurban,55,324,0
Female,No,3+,Not Graduate,No,45375,393934,300,1.0,Urban,59,546,0
Female,No,0,Graduate,No,40983,175487,360,1.0,Semiurban,49,421,0
Female,No,3+,Graduate,Yes,86688,245542,180,1.0,Rural,32,570,0
Female,Yes,2,Graduate,No,27404,484316,300,1.0,Rural,46,387,0
Female,No,3+,Graduate,No,79192,417583,180,1.0,Rural,30,621,0
Female,Yes,3+,Not Graduate,Yes,64321,141989,240,1.0,Urban,40,392,0
Female,No,1,Graduate,Yes,25877,471344,300,1.0,Urban,38,673,0
Male,No,3+,Graduate,No,69068,274808,300,0.0,Semiurban,59,572,0
Female,No,0,Graduate,Yes,80252,429740,120,1.0,Semiurban,42,895,0
Female,No,1,Graduate,No,78076,284669,360,1.0,Semiurban,58,827,1
Male,No,0,Not Graduate,Yes,62281,321752,360,1.0,Rural,52,660,0
Female,Yes,1,Not Graduate,Yes,46835,122823,240,1.0,Semiurban,54,569,0
Female,No,3+,Graduate,No,33107,202398,180,1.0,Semiurban,27,729,0
Female,No,1,Not Graduate,Yes,20980,375137,240,1.0,Rural,51,701,0
Female,No,0,Graduate,Yes,48764,429076,360,1.0,Semiurban,30,383,0
Male,No,1,Graduate,Yes,70578,89990,240,1.0,Semiurban,43,525,0
Female,Yes,3+,Not Graduate,Yes,23012,84589,120,1.0,Urban,39,895,1
Male,No,2,Graduate,No,99895,361894,120,1.0,Semiurban,31,491,0
Female,Yes,2,Graduate,Yes,66876,251192,360,1.0,Semiurban,59,307,0
Female,No,1,Graduate,Yes,43563,431876,300,1.0,Urban,55,800,0
Male,No,1,Graduate,No,96968,80699,300,1.0,Urban,43,859,1
Male,Yes,2,Not Graduate,No,34714,207228,120,1.0,Rural,21,693,0
Male,No,2,Graduate,Yes,96607,65948,120,1.0,Urban,28,680,1
Male,No,3+,Graduate,No,42541,369239,180,1.0,Urban,29,510,0
Male,No,2,Graduate,Yes,50378,436033,180,0.0,Urban,58,515,0
Male,Yes,3+,Not Graduate,No,54033,120548,180,1.0,Urban,36,848,1
Male,Yes,3+,Not Graduate,No,99586,195786,240,1.0,Semiurban,22,814,1
Male,No,0,Not Graduate,No,40073,430677,180,1.0,Semiurban,43,599,0
Female,No,1,Not Graduate,Yes,97829,68643,120,1.0,Semiurban,58,487,0
Male,No,1,Not Graduate,Yes,47756,478414,240,1.0,Semiurban,42,412,0
Male,No,0,Not Graduate,No,42814,449145,300,1.0,Semiurban,38,306,0
Male,Yes,0,Not Graduate,No,71056,118712,300,0.0,Rural,27,589,0
Female,No,3+,Graduate,Yes,75499,112518,180,1.0,Urban,55,632,0
Male,Yes,1,Graduate,Yes,47602,361336,180,0.0,Rural,25,704,0
Female,No,0,Graduate,Yes,30725,54543,240,1.0,Urban,57,783,1
Male,No,1,Graduate,No,51684,277623,120,1.0,Rural,29,520,0
Male,No,1,Graduate,Yes,63233,79663,360,1.0,Semiurban,26,400,0
Male,No,0,Not Graduate,No,23202,289174,360,1.0,Semiurban,34,806,0
Male,Yes,0,Not Graduate,No,26292,207589,120,1.0,Urban,21,757,0
Female,Yes,3+,Graduate,No,93435,367920,360,1.0,Semiurban,21,619,0
Male,Yes,3+,Graduate,Yes,22869,446318,120,1.0,Semiurban,28,323,0
Male,No,1,Graduate,No,52550,269933,240,1.0,Rural,48,580,0
Female,Yes,2,Not Graduate,No,81111,338796,300,1.0,Urban,52,671,1
Female,No,3+,Graduate,Yes,46251,320146,180,1.0,Semiurban,30,815,0
Female,Yes,3+,Graduate,No,59581,493216,180,1.0,Rural,46,604,0
Female,Yes,0,Graduate,No,26918,153905,120,0.0,Rural,34,577,0
Female,Yes,3+,Not Graduate,No,83555,157521,300,1.0,Rural,37,527,0
Male,Yes,0,Graduate,No,70734,220327,120,1.0,Semiurban,34,548,0
Female,Yes,0,Not Graduate,Yes,88132,381511,240,1.0,Rural,55,309,0
Male,Yes,1,Not Graduate,No,89105,439358,180,1.0,Urban,40,362,0
Male,No,2,Graduate,No,48064,175134,360,1.0,Rural,40,753,1
Female,No,0,Not Graduate,Yes,23292,99456,360,1.0,Semiurban,54,517,0
Female,No,1,Not Graduate,No,47707,323892,360,1.0,Semiurban,46,810,0
Female,Yes,1,Not Graduate,Yes,31621,318908,300,1.0,Urban,26,538,0
Male,No,1,Graduate,No,62663,218646,240,1.0,Semiurban,28,898,1
Female,No,3+,Not Graduate,No,31711,132929,180,0.0,Urban,34,408,0
Male,No,1,Not Graduate,Yes,93752,432442,120,0.0,Rural,24,412,0
Female,Yes,0,Graduate,Yes,68181,430942,360,1.0,Urban,47,652,0
Female,No,0,Graduate,Yes,40242,386388,180,1.0,Semiurban,40,781,0
Female,No,0,Not Graduate,No,93698,310569,240,1.0,Urban,22,386,0
Female,Yes,0,Not Graduate,Yes,81575,167641,120,1.0,Semiurban,36,601,0
Female,Yes,2,Not Graduate,No,55021,231371,180,1.0,Semiurban,53,434,0
Male,No,1,Not Graduate,Yes,31720,80793,300,1.0,Urban,56,742,1
Male,Yes,1,Graduate,No,47504,162421,240,1.0,Rural,58,636,0
Male,Yes,3+,Graduate,No,66720,252696,240,1.0,Rural,56,692,1
Female,No,2,Not Graduate,Yes,81267,246580,180,1.0,Semiurban,44,461,0
Male,Yes,0,Graduate,No,40954,86169,120,0.0,Urban,57,473,0
Male,Yes,1,Graduate,No,79405,480925,360,0.0,Rural,58,683,0
Female,Yes,1,Not Graduate,Yes,42626,170707,240,1.0,Rural,45,511,0
Female,No,3+,Graduate,Yes,39740,279144,180,1.0,Semiurban,37,714,0
Female,Yes,1,Graduate,No,55761,259364,180,1.0,Semiurban,58,392,0
Female,No,0,Graduate,Yes,32866,261270,300,1.0,Urban,37,480,0
Female,Yes,2,Graduate,Yes,52372,430263,240,1.0,Semiurban,27,361,0
Male,No,1,Graduate,No,48624,385823,180,0.0,Urban,25,352,0
Female,No,0,Graduate,No,42403,440435,360,1.0,Semiurban,43,457,0
Female,No,2,Graduate,Yes,82048,220571,360,1.0,Rural,22,593,0
Female,No,0,Graduate,Yes,46538,169319,120,0.0,Semiurban,25,386,0
Male,Yes,3+,Not Graduate,Yes,75605,242340,300,1.0,Semiurban,30,355,0
Female,No,3+,Not Graduate,No,77623,302670,360,1.0,Rural,41,826,1
Female,No,1,Not Graduate,Yes,73268,201626,240,1.0,Rural,39,609,0
Female,No,2,Not Graduate,No,41546,257026,120,1.0,Urban,40,729,0
Male,No,2,Graduate,No,86354,117913,120,1.0,Urban,40,735,1
Female,No,2,Not Graduate,No,38924,312729,300,1.0,Urban,59,360,0
Female,Yes,0,Not Graduate,No,42170,371214,360,1.0,Rural,29,672,0
Female,Yes,1,Graduate,No,89999,287220,120,1.0,Semiurban,39,816,1
Male,Yes,0,Graduate,Yes,47174,442863,240,1.0,Rural,44,568,0
Female,Yes,2,Not Graduate,Yes,75761,498054,240,1.0,Semiurban,31,817,0
Female,No,0,Not Graduate,Yes,23387,457516,180,0.0,Rural,28,867,0
Male,No,2,Graduate,No,69145,91840,300,1.0,Rural,22,627,0
Female,Yes,2,Graduate,No,89499,446361,360,1.0,Urban,33,361,0
Male,Yes,3+,Graduate,Yes,76696,200167,180,1.0,Rural,30,670,1
Female,No,1,Graduate,Yes,66594,253302,120,1.0,Rural,28,828,1
Male,No,0,Not Graduate,No,87922,235390,180,1.0,Urban,31,647,0
Female,No,2,Not Graduate,No,43849,177829,180,0.0,Semiurban,48,780,0
Female,No,0,Graduate,Yes,50142,444753,300,1.0,Rural,53,621,0
Female,No,0,Not Graduate,No,25553,337065,240,1.0,Rural,41,551,0
Female,No,3+,Not Graduate,No,75869,485135,120,1.0,Semiurban,23,867,0
Female,Yes,3+,Not Graduate,No,77872,479617,180,1.0,Semiurban,49,391,0
Male,No,2,Graduate,Yes,80110,238892,300,1.0,Urban,26,568,0
Male,Yes,3+,Not Graduate,No,79899,377172,240,1.0,Semiurban,23,393,0
Female,Yes,0,Not Graduate,No,30190,276063,240,1.0,Semiurban,43,692,0
